species_id	species_alt_id	max_complete	min_contam	max_qs
OTU-01051	208416	73.28	0	63.07999897003174
OTU-15097	208417	58.8	0	58.79999923706055
OTU-15824	208420	93.18	0	89.7699966430664
OTU-12632	208441	86.92	0	86.91999816894531
OTU-07948	208445	78.59	2.56	65.78999662399292
OTU-01122	208485	81.2	0.8	75.59999841451645
OTU-15418	208497	57.03	0	57.029998779296875
OTU-15150	208507	51.16	0.99	45.709999799728394
OTU-09087	208509	74.24	0	74.23999786376953
OTU-15444	208516	70.99	0	59.279998779296875
OTU-21529	208523	79.13	0	73.27999877929688
OTU-15386	208537	61.19	0	59.540000915527344
OTU-10612	208563	92	2.78	78.10000014305115
OTU-15108	208564	66.94	0	62.779998779296875
OTU-14844	208581	88.83	0	83.43000161647797
OTU-11907	208605	81.78	0	75.07999861240387
OTU-14609	208615	82.9	2.26	71.60000157356262
OTU-15203	208632	74.53	0	65.92999863624573
OTU-11336	208649	93.88	0	90.37999725341797
OTU-12493	208650	71.76	2.14	58.11000204086304
OTU-20423	208656	79.02	0.64	75.81999671459198
OTU-05731	208660	93.47	2.14	74.27000164985657
OTU-18780	208664	100	1.22	93.89999985694885
OTU-15635	208676	60.51	0	58.0099983215332
OTU-15513	208691	63.66	0.85	58.709999799728394
OTU-15384	208697	58.71	1.39	50.2700012922287
OTU-00959	208698	59.2	0	56.97999954223633
OTU-12709	208713	82.32	1.51	74.76999974250793
OTU-02033	208720	76.36	0	73.01000052690506
OTU-16454	208738	76.65	0	72.5500015616417
OTU-15689	208739	66.04	0	66.04000091552734
OTU-12694	208750	90.04	1.45	77.64000082015991
OTU-15133	208754	57.19	0	55.119998931884766
OTU-07562	208783	95.21	0.99	80.4699981212616
OTU-08526	208794	81.05	0.6	78.05000293254852
OTU-22701	208798	86.39	3.05	65.73999810218811
OTU-01228	208815	98.79	0	98.79000091552734
OTU-21294	208826	96.1	0	96.0999984741211
OTU-14141	208833	96.11	0	96.11000061035156
OTU-12793	208835	83.89	0.8	78.83999943733215
OTU-15421	208846	86.34	0	86.33999633789062
OTU-01162	208859	71.6	0.8	67.59999841451645
OTU-05354	208862	98.39	0	98.28999939188361
OTU-05364	208875	97.31	0	97.30999755859375
OTU-08307	208900	92.2	0	62.54999780654907
OTU-15959	208901	89.32	0.07	85.38999786227942
OTU-10198	208905	99.06	0	99.05999755859375
OTU-15008	208912	76.73	0	76.7300033569336
OTU-01479	208917	90.6	0	86.9499984383583
OTU-15302	208927	61.39	0	61.38999938964844
OTU-18697	208942	87.53	0.72	70.8799991607666
OTU-08262	208956	61.14	2.17	50.28999900817871
OTU-15452	208963	58.22	0.99	49.09000086784363
OTU-00114	208982	60.29	0	60.290000915527344
OTU-14886	208983	56.44	0	56.439998626708984
OTU-07202	208991	89.4	0.95	83.45000123977661
OTU-13905	208995	89.72	0	85.02999877929688
OTU-18712	208998	87.2	0	81.09999680519104
OTU-14548	209006	87.91	0	87.4100036546588
OTU-15594	209011	78.42	0	74.66000366210938
OTU-22600	209013	97.68	0	97.68000030517578
OTU-07640	209036	70.76	0	65.31000196933746
OTU-01052	209045	64.13	0	64.12999725341797
OTU-00693	209055	75.82	0	75.81999969482422
OTU-15373	209056	58.71	0.99	53.75999903678894
OTU-19354	209070	66.38	0	57.77999711036682
OTU-19109	209074	99.77	0	96.26999670267105
OTU-21395	209078	100	0	100
OTU-00307	209079	92.04	0	92.04000091552734
OTU-05178	209081	98.39	0.71	92.98999917507172
OTU-08011	209112	98.67	0	97.56999817490578
OTU-05241	209159	86.19	0	83.3499984741211
OTU-15655	209192	59.9	1.12	54.30000150203705
OTU-01512	209194	83.53	1.71	73.25999736785889
OTU-01336	209197	85.83	0.85	73.03000211715698
OTU-07798	209202	76.57	0.99	71.6199996471405
OTU-20160	209239	99.66	0.82	95.56000369787216
OTU-19670	209252	95.42	0	87.94999986886978
OTU-15575	209271	64.37	0.19	59.200001537799835
OTU-15656	209297	69.1	0	69.0999984741211
OTU-12688	209320	85.66	0.75	81.91000366210938
OTU-07413	209358	87.33	1.09	81.88000166416168
OTU-15399	209362	56.16	2.29	44.71000003814697
OTU-14922	209366	73.99	0	68.38999783992767
OTU-01491	209380	97.44	0.43	86.74000191688538
OTU-00036	209382	93.93	0.93	89.280000269413
OTU-21933	209397	85.93	1.91	63.03999650478363
OTU-13512	209426	97.52	0.02	90.41999685764313
OTU-11360	209432	92.13	1.69	83.67999696731567
OTU-04813	209442	94.62	0	90.92000269889832
OTU-00850	209453	80.83	0.97	75.98000168800354
OTU-17477	209475	89.92	2.62	72.06999850273132
OTU-15192	209492	54.78	0	54.779998779296875
OTU-14409	209493	94.84	2.14	83.53999638557434
OTU-14450	209504	73.68	0	73.68000030517578
OTU-14824	209506	90.62	0	80.93000030517578
OTU-00233	209528	88.97	0	80.88999772071838
OTU-12499	209547	90.63	1.07	85.27999699115753
OTU-16622	209553	84.9	4.82	54.80000162124634
OTU-14967	209557	71.29	0	71.29000091552734
OTU-15285	209558	57.18	0	57.18000030517578
OTU-05168	209560	79.57	0	75.51999968290329
OTU-14469	209562	88.89	0.85	76.08999967575073
OTU-10753	209579	99.25	0	99.25
OTU-07535	209594	87.77	0	57.029998779296875
OTU-08201	209595	80.41	1.12	71.86000347137451
OTU-05680	209614	87.83	1.08	64.43000268936157
OTU-15374	209615	63.57	0.99	53.66999959945679
OTU-01469	209619	81.86	0.85	73.3100004196167
OTU-06211	209626	88.98	0.54	86.02000111341476
OTU-04455	209641	83.8	0	79.15000301599503
OTU-16629	209644	91.57	3.61	73.52000021934509
OTU-15523	209680	54.67	0.57	51.8199982047081
OTU-23707	209691	86.59	0.68	81.83999639749527
OTU-01046	209713	75.88	1.2	63.87999677658081
OTU-04925	209719	82.46	0	64.60999941825867
OTU-15305	209742	68.32	0	68.31999969482422
OTU-07343	209780	93.96	0	88.45999896526337
OTU-19632	209786	95.48	1.39	88.53000342845917
OTU-13841	209787	90.56	0.8	85.60000145435333
OTU-14413	209791	88.04	0.65	84.79000103473663
OTU-15548	209809	61.89	0	55.09000014513731
OTU-23296	209812	84.36	0	84.27999877929688
OTU-19511	209814	98.12	0	98.12000274658203
OTU-07287	209818	99.03	0	99.02999877929688
OTU-11384	209833	84.88	0.03	67.42999720573425
OTU-15569	209866	62.23	0	62.22999954223633
OTU-11529	209877	77.01	2.16	65.53999590873718
OTU-16713	209890	88.17	0.43	86.01999813318253
OTU-15186	209896	64.85	0.99	59.89999842643738
OTU-09159	209911	90.52	0	82.52000117301941
OTU-14864	209931	90.26	0.18	89.36000210046768
OTU-00867	209941	80.84	0.93	71.48999631404877
OTU-06764	209945	99.3	0.4	97.30000302195549
OTU-23405	209967	64.1	0	60.69999843835831
OTU-08615	209969	95.38	0.97	79.22999715805054
OTU-06243	209981	94.62	5.96	52.29999828338623
OTU-16697	209986	64.78	3.61	46.72999930381775
OTU-06814	209996	98.16	0.74	90.81000351905823
OTU-04425	210003	87.02	0	73.61999797821045
OTU-00862	210008	82.77	0	77.43000030517578
OTU-13480	210017	94.33	0	94.33000183105469
OTU-23606	210023	70.69	0	70.69000244140625
OTU-01118	210045	75.09	0	75.08999633789062
OTU-15066	210059	81.02	0.62	73.31999683380127
OTU-23295	210072	98.31	0	98.30999755859375
OTU-15184	210073	60.4	0	60.400001525878906
OTU-12101	210097	85	0	72.05000042915344
OTU-15297	210103	67.59	0.19	64.88000184297562
OTU-05721	210130	95.16	1.61	87.1100035905838
OTU-08212	210147	94.63	0	94.62999725341797
OTU-14776	210167	96.36	0	96.36000061035156
OTU-01583	210177	76.77	0.26	75.46999669075012
OTU-12942	210198	72.87	0.1	72.37000273913145
OTU-15065	210217	71.98	0.93	64.1800017952919
OTU-16126	210238	92.47	1.72	57.520002365112305
OTU-22596	210247	56.25	0	56.25
OTU-15619	210252	78.58	0	78.58000183105469
OTU-15085	210255	62.34	0	62.34000015258789
OTU-04869	210269	84.4	0	68.58999633789062
OTU-14763	210279	94.49	1.19	88.53999757766724
OTU-07172	210286	79.21	1.33	70.10999882221222
OTU-19615	210300	95.34	0	95.33999633789062
OTU-00970	210307	71.6	1.6	63.599998354911804
OTU-23403	210326	90.32	0.17	89.46999968588352
OTU-16348	210342	96.53	1.19	90.57999849319458
OTU-04232	210363	76.56	0.62	73.45999753475189
OTU-15353	210387	70.98	0	70.9800033569336
OTU-14414	210403	87.88	0	86.41000366210938
OTU-10216	210435	98.91	0.54	96.21000355482101
OTU-23244	210439	87.25	0	87.25
OTU-15649	210462	69.7	3.45	52.44999670982361
OTU-21685	210471	84.49	1.23	77.93999814987183
OTU-15332	210510	61.95	1.83	48.309998869895935
OTU-22625	210586	53.8	0	53.79999923706055
OTU-08677	210592	99.41	0	99.41000366210938
OTU-15789	210595	68.73	0	68.7300033569336
OTU-15288	210602	65.71	0.1	61.880001060664654
OTU-10884	210614	74.72	0	74.72000122070312
OTU-18662	210619	87.17	0.43	85.01999813318253
OTU-11405	210652	79.03	1.41	68.99000108242035
OTU-01500	210669	82.91	0	75.46000057458878
OTU-05413	210670	73.84	1.34	65.78999626636505
OTU-06307	210681	87.71	0.54	82.30999886989594
OTU-08491	210707	59.35	0.65	56.09999859333038
OTU-11884	210710	81.54	0.02	79.29000097513199
OTU-22736	210722	75.6	1.34	68.89999830722809
OTU-06205	210727	68.99	0.95	64.23999792337418
OTU-01019	210742	72.93	0	72.93000030517578
OTU-15433	210763	60.75	0	60.75
OTU-07724	210781	71.67	0	71.66999816894531
OTU-15460	210785	57.34	1.69	48.889999866485596
OTU-07571	210788	84.16	1.98	68.31000328063965
OTU-06970	210817	94.5	0.33	92.84999993443489
OTU-12905	210845	84.57	0	81.54000091552734
OTU-15099	210855	70.19	0.19	69.24000245332718
OTU-00866	210870	79.91	0	79.91000366210938
OTU-05558	210906	85.76	1.41	72.96000242233276
OTU-21244	210908	93.68	3.5	76.18000030517578
OTU-15137	210916	56.93	0	56.38000030815601
OTU-14153	210920	96.25	0	87.26000189781189
OTU-08667	210922	54.49	0.02	51.81999817118049
OTU-00336	210923	95.33	2.4	82.08000135421753
OTU-07489	210934	90.28	0.3	76.87999844551086
OTU-19494	210939	98.14	0	95.03999936580658
OTU-14910	210956	61.06	0	61.060001373291016
OTU-00434	210963	98.69	0	98.69000244140625
OTU-07735	210969	92.54	1.98	80.4399962425232
OTU-08423	211002	90.08	0	90.08000183105469
OTU-15756	211004	62.54	0	57.59999996423721
OTU-15084	211021	60.4	0.09	59.95000150799751
OTU-08810	211023	95.97	0	93.22000116109848
OTU-14614	211026	87.61	2.67	63.56000089645386
OTU-17395	211049	99.22	0.47	96.12000119686127
OTU-20908	211062	93.56	0	86.2099974155426
OTU-00068	211065	75.24	1.46	65.53999757766724
OTU-17659	211107	80.43	1.57	70.63000011444092
OTU-09158	211108	90.49	0.48	78.23999762535095
OTU-01275	211109	91.53	0	91.52999877929688
OTU-01480	211113	84.75	0	72.70999896526337
OTU-22566	211141	61.01	0.37	59.159998297691345
OTU-21315	211146	79.92	0	68.31999850273132
OTU-13473	211189	92.34	1.06	87.03999662399292
OTU-14600	211212	91.17	0.85	81.31999957561493
OTU-12645	211232	99.33	0.34	97.6300018131733
OTU-15123	211238	56.48	1.98	46.5799994468689
OTU-08263	211240	87.5	2.31	75.9500002861023
OTU-01055	211243	70	0	70
OTU-14885	211248	62.54	0.33	59.240000784397125
OTU-01383	211275	91.54	0	87.29000079631805
OTU-12197	211299	98.05	0	98.05000305175781
OTU-13058	211300	65.54	0	65.54000091552734
OTU-05618	211356	86.32	0.24	83.8699996471405
OTU-05254	211388	98.08	0	97.13000184297562
OTU-01666	211392	99.84	0	97.0200027525425
OTU-18556	211402	99.66	0.85	91.06000351905823
OTU-01291	211424	81.2	1.71	72.64999675750732
OTU-14048	211427	99.37	1.27	81.9700026512146
OTU-13064	211456	97.95	0	83.49999642372131
OTU-08820	211458	98.9	0	98.9000015258789
OTU-18916	211467	100	0	100
OTU-15390	211489	58.92	0	54.269998133182526
OTU-07744	211495	83.28	0	83.27999877929688
OTU-01152	211508	74.75	0.8	70.74999994039536
OTU-16694	211513	61.45	1.2	55.450000524520874
OTU-04861	211521	80.74	0.34	79.03999784588814
OTU-08673	211535	92.88	1.11	85.12999749183655
OTU-10613	211548	98.67	0	98.11999817192554
OTU-00889	211556	65.75	0	65.75
OTU-22688	211571	89.74	0.61	80.08999812602997
OTU-13124	211646	78.09	0.17	73.68999636173248
OTU-05482	211647	81.79	0.82	72.3900009393692
OTU-01422	211659	89.32	4.7	65.82000064849854
OTU-11851	211667	92.3	0	92.30000305175781
OTU-05138	211684	96.81	0.55	91.05999898910522
OTU-01440	211698	52.99	0	52.060001373291016
OTU-04453	211710	71.3	0	71.30000305175781
OTU-01223	211711	94.72	0	94.72000122070312
OTU-21995	211722	61.45	0.15	60.70000073313713
OTU-19826	211723	98.34	0	98.2399963401258
OTU-14399	211731	91.43	0	74.93000054359436
OTU-05142	211737	98.69	0	97.05000305175781
OTU-15804	211758	68.5	0	66.22000122070312
OTU-11837	211759	90.72	0	83.8999999165535
OTU-15172	211794	62.41	0	57.70999985933304
OTU-07945	211798	85.14	1.28	77.50000166893005
OTU-16311	211820	91.84	1.04	85.28999662399292
OTU-21527	211825	97.71	0.43	93.3599990606308
OTU-15795	211827	59.74	0	59.7400016784668
OTU-01514	211863	78.98	0	61.88000297546387
OTU-14717	211874	72.17	0	72.16999816894531
OTU-00353	211879	88.21	1.64	80.00999915599823
OTU-02623	211920	99.31	0.18	98.40999752283096
OTU-14569	211935	63.64	0	63.63999938964844
OTU-17246	211936	99.87	0	99.87000274658203
